Date,Open,High,Low,Close,Volume
2014-06-20,102.52,105.48,101.38,105.27,33866300
2014-06-13,103.07,104.15,102.17,102.53,25733700
2014-06-06,101.54,103.36,101.01,103.18,27490200
2014-05-30,101.1,101.54,100.12,101.46,18536200
2014-05-23,100.22,101.2,99.96,100.98,28138700
2014-05-16,101.24,101.49,100.14,100.58,31332200
2014-05-09,99.29,101.25,99.04,100.91,31314500
2014-05-02,100.56,101.98,98.88,99.31,40452400
2014-04-25,99.01,100.75,98.67,99.79,32891100
2014-04-17,97.28,99.71,96.25,98.96,43077800
2014-04-11,98.39,99.36,96.05,96.87,48310800
2014-04-04,98.0,99.38,97.37,98.42,38390700
2014-03-28,95.3,98.47,94.54,97.44,56837100
2014-03-21,93.26,95.93,92.92,95.93,47418300
2014-03-14,93.17,94.2,92.46,92.81,31867500
2014-03-07,91.13,93.65,90.83,93.32,37655800
2014-02-28,91.45,92.64,90.66,92.12,37808200
2014-02-21,92.77,92.85,91.31,91.52,18341874
2014-02-14,90.24,92.99,89.8,92.76,38743700
2014-02-07,88.75,90.04,86.09,90.04,55521300
2014-01-31,90.3,90.76,88.15,88.47,47168400
2014-01-24,94.93,95.1,90.61,90.61,45170400
2014-01-17,94.37,95.2701,94.06,95.06,46662700
2014-01-10,91.93,95.38,91.87,94.74,42245600
2014-01-03,92.16,92.3,91.01,91.85,22275500
2013-12-27,92.56,92.96,91.76,92.35,15429900
2013-12-20,91.42,92.75,89.77,92.09,43714100
2013-12-13,94.3,94.79,91.07,91.35,44170100
2013-12-06,94.41,94.6597,92.66,94.44,37053600
2013-11-29,95.49,95.99,94.43,94.66,22352800
2013-11-22,94.36,95.75,94.0,95.25,35551000
2013-11-15,93.97,94.64,92.32,94.39,35425700
2013-11-08,93.46,94.1,92.28,94.05,30860800
2013-11-01,91.96,93.5799,91.92,93.37,33552900
2013-10-25,91.63,92.99,90.77,92.09,34352600
2013-10-18,88.83,92.05,88.63,91.63,45990800
2013-10-11,86.7,89.48,85.5,89.45,39486900
2013-10-04,86.33,87.49,86.15,87.31,34439000
2013-09-27,89.43,89.75,86.44,86.73,34528600
2013-09-20,89.43,90.72,88.3,89.68,45399900
2013-09-13,87.39,89.57,87.01,88.57,39253600
2013-09-06,86.89,87.92,86.0,87.16,31732100
2013-08-30,88.36,88.48,85.85,86.41,38735000
2013-08-23,89.47,91.65,87.21,88.41,40093700
2013-08-16,92.08,93.35,88.77,89.37,59940300
2013-08-09,94.05,94.37,91.78,92.36,45890100
2013-08-02,92.63,94.42,92.61,94.39,47755400
2013-07-26,92.08,92.93,91.61,92.83,41261900
2013-07-19,89.91,92.27,89.76,92.23,58420200
2013-07-12,88.09,89.99,87.97,89.99,44999000
2013-07-05,85.72,87.88,85.5,87.87,27480800
2013-06-28,82.92,87.8224,82.81,85.86,58770000
2013-06-21,85.37,86.5,82.12,83.2,59839500
2013-06-14,85.01,85.71,83.0804,84.91,40784400
2013-06-07,84.28,85.18,82.65,84.91,51158300
2013-05-31,87.54,88.29,84.18,84.18,41356200
2013-05-24,88.1,89.99,86.49,86.82,55998300
2013-05-17,85.56,88.2,85.44,88.09,51316200
2013-05-10,85.78,85.78,84.55,85.76,41858800
2013-05-03,85.02,85.99,83.88,85.75,50332400
