Date,Open,High,Low,Close,Volume,overall_sentiment_score
,,,,,,0.024
,,,,,,0.143447
,,,,,,-0.058456
,,,,,,0.097856
,,,,,,0.070302
,,,,,,0.200098
,,,,,,0.009694
,,,,,,0.021436
,,,,,,0.1013
,,,,,,0.111697
,,,,,,0.272801
,,,,,,0.147033
,,,,,,0.251855
,,,,,,0.041286
,,,,,,0.095213
,,,,,,0.15009
,,,,,,0.164747
,,,,,,0.314604
,,,,,,0.164795
,,,,,,0.042234
,,,,,,0.296446
,,,,,,0.22091
,,,,,,0.030808
,,,,,,0.355013
,,,,,,0.402996
,,,,,,0.05092
,,,,,,0.247479
,,,,,,0.170518
,,,,,,0.170518
,,,,,,0.004743
,,,,,,0.134397
,,,,,,0.170131
,,,,,,0.180397
,,,,,,0.065871
,,,,,,0.144478
,,,,,,0.274859
,,,,,,0.15265
,,,,,,0.058943
,,,,,,0.064239
,,,,,,0.199909
,,,,,,0.090571
,,,,,,0.277141
,,,,,,0.141201
,,,,,,0.109249
,,,,,,0.090571
,,,,,,0.249664
,,,,,,0.050063
,,,,,,0.297056
,,,,,,0.36762
,,,,,,0.095956
,,,,,,0.336129
,,,,,,0.02175
,,,,,,0.146432
,,,,,,0.240685
,,,,,,-0.038631
,,,,,,0.262368
,,,,,,0.176876
,,,,,,0.075222
,,,,,,0.271932
,,,,,,0.0
,,,,,,0.136042
,,,,,,0.309069
,,,,,,0.160819
,,,,,,0.035587
,,,,,,0.099461
,,,,,,-0.154904
,,,,,,0.23826
,,,,,,0.293766
,,,,,,0.334406
,,,,,,0.214093
,,,,,,0.171697
,,,,,,0.08437
,,,,,,0.098295
,,,,,,-0.096502
,,,,,,0.127997
,,,,,,0.121061
,,,,,,0.099757
,,,,,,0.026334
,,,,,,0.159705
,,,,,,0.168336
,,,,,,0.030249
,,,,,,0.145614
,,,,,,-0.169249
,,,,,,0.021669
,,,,,,0.174621
,,,,,,0.16758
,,,,,,0.357951
,,,,,,0.056892
,,,,,,0.153111
,,,,,,0.048371
,,,,,,0.326024
,,,,,,-0.014898
,,,,,,0.17111
,,,,,,0.293906
,,,,,,0.23147
,,,,,,-0.070288
,,,,,,0.093276
,,,,,,0.208236
,,,,,,0.173315
,,,,,,0.065197
,,,,,,0.140073
,,,,,,0.249607
,,,,,,0.349563
,,,,,,0.079454
,,,,,,-0.00243
,,,,,,0.194917
,,,,,,0.143109
,,,,,,0.126113
,,,,,,0.099404
,,,,,,0.060749
,,,,,,0.148552
,,,,,,0.147597
,,,,,,0.167562
,,,,,,0.252934
,,,,,,0.285392
,,,,,,-0.069908
,,,,,,0.089376
,,,,,,0.088585
,,,,,,0.353939
,,,,,,0.083886
,,,,,,0.239167
